DPA_PARROQ,DPA_DESPAR,altura_mean,pendiente_mean,distancia_rios,precipitaciones_mean,DPA_DESPRO,DPA_DESCAN,riesgo_inundacion,Densidad Poblacional,rango_altitudinal,riesgo_inundacion_cod,riesgo_predicho,probabilidad_riesgo_alto
020251,SAN JOSE DEL TAMBO,781.719737878598,89.9531003989559,1993.10827052705,116.776537197739,BOLIVAR,CHILLANES,Nulo,24.0,2886,3,Alto,0.54
020350,SAN JOSE DE CHIMBO,2561.20664852255,89.9975010771526,1432.04096437695,71.1316863468715,BOLIVAR,CHIMBO,Bajo,410.0,598,1,Medio,0.07
020351,ASUNCION,2778.04987619385,89.9979586274162,4201.06120594012,92.9968504729094,BOLIVAR,CHIMBO,Nulo,79.0,1444,3,Nulo,0.01
020353,LA MAGDALENA,2717.52898377083,89.990069091285,3320.68155329854,93.293823704575,BOLIVAR,CHIMBO,Nulo,59.0,1656,3,Nulo,0.02
020354,SAN SEBASTIAN,2641.06151773687,89.9975686877096,1564.19138567369,72.4282008579799,BOLIVAR,CHIMBO,Nulo,111.0,813,3,Nulo,0.02
020355,TELIMBELA,1242.13052277717,89.9908785481528,1559.34174855235,139.967787248375,BOLIVAR,CHIMBO,Medio,18.0,2514,2,Medio,0.29
020450,ECHEANDIA,672.265090276082,89.9587836229903,1981.37281120148,152.662457518317,BOLIVAR,ECHEANDIA,Alto,60.0,1669,0,Alto,0.43
020550,SAN MIGUEL,2636.97065222891,89.9963746749383,1691.28267776941,90.6098273636459,BOLIVAR,SAN MIGUEL,Medio,150.0,1542,2,Nulo,0.03
020551,BALSAPAMBA,1568.99616813555,89.998681637371,146.729571034416,115.436499103747,BOLIVAR,SAN MIGUEL,Bajo,22.0,2853,1,Medio,0.24
020552,BILOVAN,1717.37680773303,89.9982572369283,1692.53033214365,111.292974812644,BOLIVAR,SAN MIGUEL,Bajo,21.0,2821,1,Medio,0.18
020553,REGULO DE MORA,1205.35772357724,89.9943192357351,1430.23261355106,118.973034315843,BOLIVAR,SAN MIGUEL,Bajo,12.0,2209,1,Medio,0.26
020554,SAN PABLO,2516.68346328988,89.9932572057426,75.7951354026716,95.18589057297,BOLIVAR,SAN MIGUEL,Nulo,68.0,1831,3,Bajo,0.04
020555,SANTIAGO,3347.65280653433,89.9983167267353,1468.65585458544,88.1945025704124,BOLIVAR,SAN MIGUEL,Bajo,33.0,2036,1,Bajo,0.01
020556,SAN VICENTE,2719.57504847229,89.9950830605353,779.566064592084,92.6194275565769,BOLIVAR,SAN MIGUEL,Nulo,37.0,1454,3,Bajo,0.01
020650,CALUMA,935.434850812472,89.9735383780461,1053.08094306991,169.765062950027,BOLIVAR,CALUMA,Alto,89.0,3034,0,Alto,0.59
020750,LAS NAVES,382.383479371341,89.8403489070493,1931.4987673439,157.360128911336,BOLIVAR,LAS NAVES,Alto,47.0,1181,0,Alto,0.45
030150,AZOGUES,2837.4904196544,89.9847723949938,773.400248280698,87.683253288269,CANAR,AZOGUES,Alto,730.0,1196,0,Medio,0.26
030151,COJITAMBO,2773.56435397173,89.9969991049443,1437.4244823033,73.9608638987822,CANAR,AZOGUES,Nulo,190.0,556,3,Nulo,0.02
030153,GUAPAN,3219.3985617142,89.8656489037877,954.786797882848,85.1563280167118,CANAR,AZOGUES,Bajo,115.0,1206,1,Nulo,0.01
030154,JAVIER LOYOLA,2504.08579304364,89.9625100796762,1131.67275842033,70.6343581158182,CANAR,AZOGUES,Nulo,280.0,522,3,Nulo,0.04
030155,LUIS CORDERO,2879.68299734334,89.9828385902878,453.047213550107,82.7342308445981,CANAR,AZOGUES,Bajo,162.0,662,1,Nulo,0.01
030156,PINDILIG,3188.39891302563,89.9967520317808,576.330091105542,98.0481538877382,CANAR,AZOGUES,Nulo,16.0,1777,3,Bajo,0.01
030157,RIVERA,3136.9915943717,89.9972530606645,410.222537825496,99.9054448278875,CANAR,AZOGUES,Nulo,3.0,2140,3,Bajo,0.01
030158,SAN MIGUEL,2725.28175249699,89.9812006962876,1981.45797897011,71.831844329834,CANAR,AZOGUES,Nulo,135.0,847,3,Nulo,0.01
030160,TADAY,3228.67558794613,89.9948084850928,1545.71149447372,100.46231032391,CANAR,AZOGUES,Nulo,20.0,1713,3,Nulo,0.01
030250,BIBLIAN,3099.46853455756,89.988020357614,1683.55656685419,71.3099246819814,CANAR,BIBLIAN,Alto,206.0,1276,0,Nulo,0.02
030251,NAZON,3430.62964553842,89.9921726888925,1039.23036687758,84.2483487810407,CANAR,BIBLIAN,Nulo,44.0,1665,3,Nulo,0.0
030252,SAN FRANCISCO DE SAGEO,2756.73586818758,89.9745267377305,1480.50332361053,67.7570190429688,CANAR,BIBLIAN,Nulo,392.0,650,3,Nulo,0.05
030253,TURUPAMBA,2897.61132075472,89.9840876464401,380.45708689298,69.5597671508789,CANAR,BIBLIAN,Bajo,165.0,616,1,Nulo,0.01
030254,JERUSALEN,3451.09093886463,89.9827067912406,130.830762396993,78.3926824452926,CANAR,BIBLIAN,Bajo,28.0,1470,1,Bajo,0.0
030350,CANAR,3199.06248830683,89.9931388031377,823.563528201874,61.7826522451932,CANAR,CANAR,Bajo,227.0,2070,1,Nulo,0.03
030351,CHONTAMARCA,1396.94706559264,89.9944677110804,2533.92804124595,103.077577547594,CANAR,CANAR,Bajo,15.0,3089,1,Alto,0.3
030352,CHOROCOPTE,3627.13415918413,89.7743988111111,2301.29552559565,63.0439754803975,CANAR,CANAR,Nulo,80.0,865,3,Nulo,0.0
030353,GENERAL MORALES,2144.27773018738,89.9885201443574,2355.39582591781,84.7405621954735,CANAR,CANAR,Nulo,20.0,2722,3,Bajo,0.08
030354,GUALLETURO,3220.15424781213,89.8630507916306,337.074288712831,88.3391849018853,CANAR,CANAR,Bajo,11.0,3554,1,Bajo,0.02
030355,HONORATO VASQUEZ,3312.03473905714,89.9899650474118,2291.53825951719,66.7168396115303,CANAR,CANAR,Nulo,77.0,987,3,Nulo,0.0
030356,INGAPIRCA,3602.45359519481,89.793964989025,878.343307371658,75.9952088289483,CANAR,CANAR,Nulo,17.0,1621,3,Nulo,0.0
030357,JUNCAL,3650.94806142663,89.8758048131095,1094.54508774392,71.1966900728187,CANAR,CANAR,Nulo,26.0,2273,3,Bajo,0.0
030358,SAN ANTONIO,2292.95492068017,89.9410330423831,628.222943844987,106.152547951204,CANAR,CANAR,Medio,5.0,4345,2,Bajo,0.18
030361,ZHUD,3114.03904719854,89.9937512170892,1861.91542988663,72.588015638079,CANAR,CANAR,Nulo,20.0,2506,3,Bajo,0.01
030362,VENTURA,751.287783436824,89.9887994161414,562.415086057467,112.557309968131,CANAR,CANAR,Nulo,20.0,1317,3,Alto,0.31
030363,DUCUR,1202.79969863819,89.9951101154104,1995.5069190848,108.927370801384,CANAR,CANAR,Bajo,37.0,2204,1,Medio,0.27
030450,LA TRONCAL,309.009750071157,89.6838478106352,62.3338610898705,146.528121227355,CANAR,LA TRONCAL,Alto,297.0,963,0,Alto,0.73
030451,MANUEL J. CALLE,49.0971113823428,89.4523509712662,335.901422606901,123.377781391144,CANAR,LA TRONCAL,Bajo,78.0,47,1,Alto,0.46
030452,PANCHO NEGRO,64.1030299200657,89.4461425375326,2873.39843418668,130.907511230469,CANAR,LA TRONCAL,Alto,72.0,165,0,Alto,0.43
030550,EL TAMBO,3315.71209088857,89.5288009356541,247.688776981744,63.3811125125525,CANAR,EL TAMBO,Medio,147.0,1984,2,Nulo,0.01
030650,DELEG,3001.95983592834,89.9829953910078,585.810311512326,74.6583613520083,CANAR,DELEG,Nulo,75.0,1264,3,Nulo,0.01
030651,SOLANO,2647.19069845912,89.980164841637,401.815687889655,65.7488324483236,CANAR,DELEG,Nulo,105.0,544,3,Nulo,0.01
030750,SUSCAL,2466.37294534575,89.9979594019734,1515.24498679625,87.9147517992103,CANAR,SUSCAL,Bajo,87.0,2112,1,Nulo,0.05
040150,TULCAN,3133.6443806255,89.944032048132,2354.95062579625,86.3718433211335,CARCHI,TULCAN,Alto,473.0,893,0,Nulo,0.05
040151,EL CARMELO,3113.83529088437,89.9945264505023,2289.35223332817,101.758010581688,CARCHI,TULCAN,Nulo,33.0,1196,3,Nulo,0.01
040153,JULIO ANDRADE,3175.60636154289,89.9850185825515,3886.7386596087,96.0973288796165,CARCHI,TULCAN,Nulo,114.0,821,3,Nulo,0.01
040154,MALDONADO,2817.53652428787,89.9976299563027,880.716765887504,106.74200194559,CARCHI,TULCAN,Nulo,10.0,3486,3,Bajo,0.05
040155,PIOTER,3067.03694976973,89.9867429664843,1069.9481510106,89.2539545694987,CARCHI,TULCAN,Nulo,38.0,875,3,Nulo,0.0
040156,TOBAR DONOSO,767.52447228375,89.9860455183105,1180.71235502012,161.503505774238,CARCHI,TULCAN,Nulo,2.0,2202,3,Alto,0.42
040157,TUFINO,3550.4552002596,89.8848882007704,1910.79742141931,91.6573724154768,CARCHI,TULCAN,Bajo,15.0,1806,1,Nulo,0.0
040158,URBINA,3031.54726202112,89.98092446441,1899.56617933517,82.9926519393921,CARCHI,TULCAN,Nulo,44.0,728,3,Nulo,0.0
040159,EL CHICAL,1315.84157041995,89.991248618309,3262.12598495383,121.217379173536,CARCHI,TULCAN,Nulo,10.0,2874,3,Medio,0.29
040161,SANTA MARTHA DE CUBA,2937.86884303696,89.96412505437,1192.87715743947,93.4618876530574,CARCHI,TULCAN,Bajo,145.0,898,1,Nulo,0.01
040250,BOLIVAR,2718.25291014393,89.9566301212062,1667.99511251432,66.2358210999289,CARCHI,BOLIVAR,Medio,59.0,2177,2,Nulo,0.03
